Ticker,Corr_ticker,corr_valor,Sector
GM,WMT,0.5855160465949735,Manufactura
GM,XOM,0.3240183677640248,Manufactura
GM,ZM,0.35686891374440505,Manufactura
GS,AMZN,0.6742977630723995,Finanzas
GS,BABA,-0.40829055707143963,Finanzas
GS,BAC,0.9419184641680719,Finanzas
GS,BP,0.11280380545802414,Finanzas
GS,CAT,0.9032799188073353,Finanzas
GS,COST,0.8037176722691013,Finanzas
GS,CSCO,0.815311952891813,Finanzas
GS,CVX,0.4661453627509748,Finanzas
GS,EBAY,0.849623841508682,Finanzas
GS,F,0.8755765983038923,Finanzas
GS,GM,0.8780335634980049,Finanzas
GS,JNJ,0.8394583069671206,Finanzas
GS,JPM,0.9428467046234423,Finanzas
GS,KR,0.7059821024286796,Finanzas
GS,MRK,0.3337316742623117,Finanzas
GS,MSFT,0.8975560549316544,Finanzas
GS,PFE,0.7503479462149566,Finanzas
GS,T,-0.241380803118196,Finanzas
GS,TMUS,0.7301896524762094,Finanzas
GS,VZ,0.05773099289440038,Finanzas
GS,WMT,0.699580450745732,Finanzas
GS,XOM,0.4922067363205816,Finanzas
GS,ZM,0.24347346732502342,Finanzas
JNJ,AMZN,0.6660697706004206,Farmaceutica
JNJ,BABA,-0.3951818259358039,Farmaceutica
JNJ,BAC,0.7467033734450651,Farmaceutica
JNJ,BP,-0.044012741815966684,Farmaceutica
JNJ,CAT,0.8860270135242868,Farmaceutica
JNJ,COST,0.8647394900845632,Farmaceutica
JNJ,CSCO,0.6030454669207513,Farmaceutica
JNJ,CVX,0.5783632282875562,Farmaceutica
JNJ,EBAY,0.7177513096956356,Farmaceutica
JNJ,F,0.7261452304455738,Farmaceutica
JNJ,GM,0.6021554027043704,Farmaceutica
JNJ,GS,0.8394583069671206,Farmaceutica
JNJ,JPM,0.6866298577143272,Farmaceutica
JNJ,KR,0.905859098467536,Farmaceutica
JNJ,MRK,0.5227997166016122,Farmaceutica
JNJ,MSFT,0.8971180832089435,Farmaceutica
JNJ,PFE,0.8103058600563919,Farmaceutica
JNJ,T,-0.3376193148368024,Farmaceutica
JNJ,TMUS,0.8311316970239142,Farmaceutica
JNJ,VZ,0.05157308792214735,Farmaceutica
JNJ,WMT,0.7848986109443736,Farmaceutica
JNJ,XOM,0.5215368490841891,Farmaceutica
JNJ,ZM,0.2485476808626346,Farmaceutica
JPM,AMZN,0.5497637429101471,Finanzas
JPM,BABA,-0.32516120012532496,Finanzas
JPM,BAC,0.9532420384628392,Finanzas
JPM,BP,0.24079472160926874,Finanzas
JPM,CAT,0.8372466383022195,Finanzas
JPM,COST,0.651983046372034,Finanzas
JPM,CSCO,0.7761376237496606,Finanzas
JPM,CVX,0.39408254472265586,Finanzas
JPM,EBAY,0.7331553619980489,Finanzas
JPM,F,0.8353286021557129,Finanzas
JPM,GM,0.9215681371743621,Finanzas
JPM,GS,0.9428467046234423,Finanzas
JPM,JNJ,0.6866298577143272,Finanzas
JPM,KR,0.5082596765382297,Finanzas
JPM,MRK,0.25343774529346536,Finanzas
JPM,MSFT,0.7526554559116105,Finanzas
JPM,PFE,0.6160038761033151,Finanzas
JPM,T,-0.017632813151866426,Finanzas
JPM,TMUS,0.5806568157216988,Finanzas
JPM,VZ,0.17572618030945414,Finanzas
JPM,WMT,0.5661155130269538,Finanzas
JPM,XOM,0.45344396716790486,Finanzas
JPM,ZM,0.1756104776718592,Finanzas
KR,AMZN,0.5494325408622054,Supermercados
KR,BABA,-0.5372940341669298,Supermercados
KR,BAC,0.6503428844030101,Supermercados
KR,BP,-0.03306916215127905,Supermercados
KR,CAT,0.7521508253321155,Supermercados
KR,COST,0.9199242486748657,Supermercados
KR,CSCO,0.5189584210999677,Supermercados
KR,CVX,0.6659157774779367,Supermercados
KR,EBAY,0.5913558420980923,Supermercados
KR,F,0.6891674711398312,Supermercados
KR,GM,0.3919459344382283,Supermercados
KR,GS,0.7059821024286796,Supermercados
KR,JNJ,0.905859098467536,Supermercados
KR,JPM,0.5082596765382297,Supermercados
KR,MRK,0.570710281066972,Supermercados
KR,MSFT,0.8565560993198023,Supermercados
KR,PFE,0.8384285029313786,Supermercados
KR,T,-0.43326017285901913,Supermercados
KR,TMUS,0.6988609193814553,Supermercados
KR,VZ,-0.10867335600752157,Supermercados
KR,WMT,0.7322582433207062,Supermercados
KR,XOM,0.564425848723499,Supermercados
KR,ZM,0.08056884830145744,Supermercados
MRK,AMZN,-0.023645029430219205,Farmaceutica
MRK,BABA,-0.559696062700683,Farmaceutica
MRK,BAC,0.4029445893401385,Farmaceutica
MRK,BP,0.4344135693694323,Farmaceutica
MRK,CAT,0.357785405731482,Farmaceutica
MRK,COST,0.5475295525857404,Farmaceutica
MRK,CSCO,0.26988373766071566,Farmaceutica
MRK,CVX,0.7502975867249838,Farmaceutica
MRK,EBAY,0.10704000640324604,Farmaceutica
MRK,F,0.4346119674590065,Farmaceutica
MRK,GM,0.10136005789411753,Farmaceutica
MRK,GS,0.3337316742623117,Farmaceutica
MRK,JNJ,0.5227997166016122,Farmaceutica
MRK,JPM,0.25343774529346536,Farmaceutica
MRK,KR,0.570710281066972,Farmaceutica
MRK,MSFT,0.37992591578151436,Farmaceutica
MRK,PFE,0.6361984706273074,Farmaceutica
MRK,T,0.07578834088569038,Farmaceutica
MRK,TMUS,0.21265709758350687,Farmaceutica
MRK,VZ,-0.08130365652743575,Farmaceutica
MRK,WMT,0.2644224403444867,Farmaceutica
MRK,XOM,0.7204696101977683,Farmaceutica
MRK,ZM,-0.30497810755488663,Farmaceutica
MSFT,AMZN,0.8086190287432209,Tecnologia de Comunicacion
MSFT,BABA,-0.3509626594393528,Tecnologia de Comunicacion
MSFT,BAC,0.8120932333563061,Tecnologia de Comunicacion
MSFT,BP,-0.14611056261303765,Tecnologia de Comunicacion
MSFT,CAT,0.8466298032476042,Tecnologia de Comunicacion
MSFT,COST,0.9252867074333577,Tecnologia de Comunicacion
MSFT,CSCO,0.6800740726465109,Tecnologia de Comunicacion
MSFT,CVX,0.4226832334568217,Tecnologia de Comunicacion
MSFT,EBAY,0.8738284001956382,Tecnologia de Comunicacion
MSFT,F,0.8232749965852652,Tecnologia de Comunicacion
MSFT,GM,0.6984845046339108,Tecnologia de Comunicacion
MSFT,GS,0.8975560549316544,Tecnologia de Comunicacion
MSFT,JNJ,0.8971180832089435,Tecnologia de Comunicacion
MSFT,JPM,0.7526554559116105,Tecnologia de Comunicacion
MSFT,KR,0.8565560993198023,Tecnologia de Comunicacion
MSFT,MRK,0.37992591578151436,Tecnologia de Comunicacion
MSFT,PFE,0.8127882585270535,Tecnologia de Comunicacion
MSFT,T,-0.509395661043833,Tecnologia de Comunicacion
MSFT,TMUS,0.7973745380009231,Tecnologia de Comunicacion
MSFT,VZ,0.011373557145892402,Tecnologia de Comunicacion
MSFT,WMT,0.8365485516008923,Tecnologia de Comunicacion
MSFT,XOM,0.3714355435884087,Tecnologia de Comunicacion
MSFT,ZM,0.34731801798087114,Tecnologia de Comunicacion
PFE,AMZN,0.41268115177343,Farmaceutica
PFE,BABA,-0.7125600690037681,Farmaceutica
PFE,BAC,0.7725412303521826,Farmaceutica
PFE,BP,0.27433305352120635,Farmaceutica
PFE,CAT,0.7002411135887102,Farmaceutica
PFE,COST,0.9138244930175347,Farmaceutica
PFE,CSCO,0.741849002314411,Farmaceutica
PFE,CVX,0.7481456589804873,Farmaceutica
